
2024/09/16 (19:51:36) | ===> btop++ v.1.3.2
2024/09/16 (19:51:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (20:28:41) | ===> btop++ v.1.3.2
2024/09/16 (20:28:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (20:53:25) | ===> btop++ v.1.3.2
2024/09/16 (20:53:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (20:58:23) | ===> btop++ v.1.3.2
2024/09/16 (20:58:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (21:03:17) | ===> btop++ v.1.3.2
2024/09/16 (21:03:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (23:23:40) | ===> btop++ v.1.3.2
2024/09/16 (23:23:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (23:23:42) | ===> btop++ v.1.3.2
2024/09/16 (23:23:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (23:23:46) | ===> btop++ v.1.3.2
2024/09/16 (23:23:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (03:37:14) | ===> btop++ v.1.3.2
2024/09/17 (03:37:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (11:26:01) | ===> btop++ v.1.3.2
2024/09/17 (11:26:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (12:07:43) | ===> btop++ v.1.3.2
2024/09/17 (12:07:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (20:16:06) | ===> btop++ v.1.3.2
2024/09/17 (20:16:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (00:15:24) | ===> btop++ v.1.3.2
2024/09/18 (00:15:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (10:23:47) | ===> btop++ v.1.3.2
2024/09/18 (10:23:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (10:29:33) | ===> btop++ v.1.3.2
2024/09/18 (10:29:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (10:37:10) | ===> btop++ v.1.3.2
2024/09/18 (10:37:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (11:44:03) | ===> btop++ v.1.3.2
2024/09/18 (11:44:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (15:27:04) | ===> btop++ v.1.3.2
2024/09/18 (15:27:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (16:17:35) | ===> btop++ v.1.3.2
2024/09/18 (16:17:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (16:20:41) | ===> btop++ v.1.3.2
2024/09/18 (16:20:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (18:21:38) | ===> btop++ v.1.3.2
2024/09/18 (18:21:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (18:33:09) | ===> btop++ v.1.3.2
2024/09/18 (18:33:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:16:26) | ===> btop++ v.1.3.2
2024/09/18 (19:16:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:17:05) | ===> btop++ v.1.3.2
2024/09/18 (19:17:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:42:55) | ===> btop++ v.1.3.2
2024/09/18 (19:42:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:44:20) | ===> btop++ v.1.3.2
2024/09/18 (19:44:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:45:08) | ===> btop++ v.1.3.2
2024/09/18 (19:45:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:45:38) | ===> btop++ v.1.3.2
2024/09/18 (19:45:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (19:48:23) | ===> btop++ v.1.3.2
